id,year,month,metro,city,biz,custCnt,powerUsage,bill,unitCost
199,2008,1,전체,전체,도매 및 소매업,26183,118031683,10997874065,93.2
200,2008,1,전체,전체,운수업,327989,985700639,91232095155,92.6
201,2008,1,전체,전체,숙박 및 음식점업 ,41767,368022128,30071575536,81.7
202,2008,1,전체,전체,"출판영상,방송통신정보서비스업",10239,418854118,29348062507,70.1
203,2008,1,전체,전체,금융 및 보험업 ,91095,361248912,30265470292,83.8
204,2008,1,전체,전체,"전문, 과학 및 기술 서비스업 ",577497,2320861339,211970296933,91.3
205,2008,1,전체,전체,"사업시설관리,사업지원서비스업",18640,50608850,4720899411,93.3
206,2008,1,전체,전체,교육 서비스업,32133,294789178,25234846837,85.6
207,2008,1,전체,전체,보건업 및 사회복지 서비스업,26535,116361895,9046764123,77.7
208,2008,1,전체,전체,"예술,스포츠및여가관련서비스업",26499,295207051,21530747124,72.9
209,2008,1,전체,전체,"협회단체,수리기타개인서비스업",3,27428,2442295,89.0
210,2008,1,전체,전체,국제 및 외국기관,230,55110221,4162494093,75.5
211,2008,2,전체,전체,"농업, 임업 및 어업 ",1015873,615825559,27610174639,44.8
212,2008,2,전체,전체,광업 ,14001,145649250,5862681020,40.3
213,2008,2,전체,전체,제조업 ,147992,9603985162,634303872903,66.0
214,2008,2,전체,전체,"전기, 가스, 증기 및 수도사업 ",2119,355232464,25876451432,72.8
215,2008,2,전체,전체,건설업 ,1,125,130263,1042.1
216,2008,2,전체,전체,도매 및 소매업,25863,117381211,10807021498,92.1
217,2008,2,전체,전체,운수업,326946,972164852,88730638663,91.3
218,2008,2,전체,전체,숙박 및 음식점업 ,41849,361498322,29460630946,81.5
219,2008,2,전체,전체,"출판영상,방송통신정보서비스업",10251,411368262,28857831352,70.2
220,2008,2,전체,전체,금융 및 보험업 ,92264,358101911,29586421698,82.6
221,2008,2,전체,전체,"전문, 과학 및 기술 서비스업 ",582241,2333425678,210280233543,90.1
222,2008,2,전체,전체,"사업시설관리,사업지원서비스업",18721,49811722,4588322469,92.1
223,2008,2,전체,전체,교육 서비스업,32156,295120214,24851653006,84.2
224,2008,2,전체,전체,보건업 및 사회복지 서비스업,26871,122220448,9246411033,75.7
225,2008,2,전체,전체,"예술,스포츠및여가관련서비스업",26578,296538471,21494805360,72.5
226,2008,2,전체,전체,"협회단체,수리기타개인서비스업",3,32469,2795269,86.1
227,2008,2,전체,전체,국제 및 외국기관,229,57133559,4296264275,75.2
228,2008,3,전체,전체,"농업, 임업 및 어업 ",1563562,570611211,25591181831,44.8
229,2008,3,전체,전체,광업 ,13929,139347056,5640004935,40.5
230,2008,3,전체,전체,제조업 ,148369,10386930459,609530777112,58.7
231,2008,3,전체,전체,"전기, 가스, 증기 및 수도사업 ",2141,377525492,24788777576,65.7
232,2008,3,전체,전체,건설업 ,1,85,103440,1216.9
233,2008,3,전체,전체,도매 및 소매업,26012,106785345,9703654718,90.9
234,2008,3,전체,전체,운수업,325724,886742566,78636352910,88.7
235,2008,3,전체,전체,숙박 및 음식점업 ,41925,324708236,25365275655,78.1
236,2008,3,전체,전체,"출판영상,방송통신정보서비스업",10259,381304855,25326652297,66.4
237,2008,3,전체,전체,금융 및 보험업 ,93859,339310810,27509047750,81.1
238,2008,3,전체,전체,"전문, 과학 및 기술 서비스업 ",586142,2089145249,184385162244,88.3
239,2008,3,전체,전체,"사업시설관리,사업지원서비스업",18723,45080395,4097213741,90.9
240,2008,3,전체,전체,교육 서비스업,32148,269692055,22006712798,81.6
241,2008,3,전체,전체,보건업 및 사회복지 서비스업,27239,109320630,8052095146,73.7
242,2008,3,전체,전체,"예술,스포츠및여가관련서비스업",26692,299517658,20183728242,67.4
243,2008,3,전체,전체,"협회단체,수리기타개인서비스업",3,25275,2176938,86.1
244,2008,3,전체,전체,국제 및 외국기관,228,51799690,3983464569,76.9
245,2008,4,전체,전체,"농업, 임업 및 어업 ",1121130,462038551,21223678943,45.9
246,2008,4,전체,전체,광업 ,13969,147141860,5932570276,40.3
247,2008,4,전체,전체,제조업 ,148632,10164988589,594524889570,58.5
248,2008,4,전체,전체,"전기, 가스, 증기 및 수도사업 ",2162,366050860,24282203326,66.3
249,2008,4,전체,전체,건설업 ,1,13,45067,3466.7
250,2008,4,전체,전체,도매 및 소매업,26698,94322993,8613419259,91.3
251,2008,4,전체,전체,운수업,324279,864003999,74713369414,86.5
252,2008,4,전체,전체,숙박 및 음식점업 ,41994,302599376,23271291360,76.9
253,2008,4,전체,전체,"출판영상,방송통신정보서비스업",10264,341368309,23759457828,69.6
254,2008,4,전체,전체,금융 및 보험업 ,95210,360967783,26859640067,74.4
255,2008,4,전체,전체,"전문, 과학 및 기술 서비스업 ",590646,1920660279,168691031993,87.8
256,2008,4,전체,전체,"사업시설관리,사업지원서비스업",18792,42104421,3807919561,90.4
257,2008,4,전체,전체,교육 서비스업,32124,247204505,20103071375,81.3
258,2008,4,전체,전체,보건업 및 사회복지 서비스업,27369,98180696,7125240212,72.6
259,2008,4,전체,전체,"예술,스포츠및여가관련서비스업",26903,303028128,20006761619,66.0
260,2008,4,전체,전체,"협회단체,수리기타개인서비스업",3,20854,1860885,89.2
261,2008,4,전체,전체,국제 및 외국기관,228,49052082,3801538945,77.5
262,2008,5,전체,전체,"농업, 임업 및 어업 ",1042282,584899702,25293783647,43.2
263,2008,5,전체,전체,광업 ,2355,127858783,9150844937,71.6
264,2008,5,전체,전체,제조업 ,249970,15385413433,907269206611,59.0
265,2008,5,전체,전체,"전기, 가스, 증기 및 수도사업 ",56862,718491453,51821348142,72.1
266,2008,5,전체,전체,하수폐기처리원료재생환경복원,28446,342310140,23199360986,67.8
267,2008,5,전체,전체,건설업 ,29247,83301631,8115344512,97.4
268,2008,5,전체,전체,도매 및 소매업,695752,1442087900,129296720552,89.7
269,2008,5,전체,전체,운수업,76363,481989523,33802945512,70.1
270,2008,5,전체,전체,숙박 및 음식점업 ,522903,998297085,90322671460,90.5
271,2008,5,전체,전체,"출판영상,방송통신정보서비스업",99045,361681293,26925779766,74.4
272,2008,5,전체,전체,금융 및 보험업 ,14680,139272794,11864909195,85.2
273,2008,5,전체,전체,부동산업 및 임대업 ,571022,1683546708,152593618941,90.6
274,2008,5,전체,전체,"전문, 과학 및 기술 서비스업 ",31727,111605646,9169025437,82.2
275,2008,5,전체,전체,"사업시설관리,사업지원서비스업",17226,34324325,3205224615,93.4
276,2008,5,전체,전체,"공공행정, 국방 및 사회보장 행정",23627,232269074,20391352798,87.8
277,2008,5,전체,전체,교육 서비스업,62633,448456580,34811101733,77.6
278,2008,5,전체,전체,보건업 및 사회복지 서비스업,55259,278615597,23026259559,82.6
279,2008,5,전체,전체,"예술,스포츠및여가관련서비스업",78560,291980306,26858031581,92.0
280,2008,5,전체,전체,"협회단체,수리기타개인서비스업",218800,407519428,40340593109,99.0
281,2008,5,전체,전체,"가구내고용,미분류자가소비생산",686,631047,68042454,107.8
282,2008,5,전체,전체,국제 및 외국기관,232,44929692,3557955164,79.2
283,2008,6,전체,전체,"농업, 임업 및 어업 ",1055124,619257267,26204033764,42.3
284,2008,6,전체,전체,광업 ,2230,116348947,8629131543,74.2
285,2008,6,전체,전체,제조업 ,256438,15430357183,917373644902,59.5
286,2008,6,전체,전체,"전기, 가스, 증기 및 수도사업 ",57014,725676613,52643724033,72.5
287,2008,6,전체,전체,하수폐기처리원료재생환경복원,28980,344824447,24116799075,69.9
288,2008,6,전체,전체,건설업 ,31219,88033323,8581743344,97.5
289,2008,6,전체,전체,도매 및 소매업,709459,1567501025,137571814292,87.8
290,2008,6,전체,전체,운수업,78086,500322340,35056512048,70.1
291,2008,6,전체,전체,숙박 및 음식점업 ,522208,1061861734,95279853650,89.7
292,2008,6,전체,전체,"출판영상,방송통신정보서비스업",100305,386370984,28476121675,73.7
293,2008,6,전체,전체,금융 및 보험업 ,14952,154087269,12777946598,82.9
294,2008,6,전체,전체,부동산업 및 임대업 ,568517,1844686374,162646427651,88.2
295,2008,6,전체,전체,"전문, 과학 및 기술 서비스업 ",35645,121741739,10010379696,82.2
296,2008,6,전체,전체,"사업시설관리,사업지원서비스업",19842,38371443,3587534856,93.5
297,2008,6,전체,전체,"공공행정, 국방 및 사회보장 행정",24472,241246935,20927117333,86.7
298,2008,6,전체,전체,교육 서비스업,64244,477579278,36371208164,76.2
299,2008,6,전체,전체,보건업 및 사회복지 서비스업,57073,293271550,24166168051,82.4
300,2008,6,전체,전체,"예술,스포츠및여가관련서비스업",81134,314711891,28422738106,90.3
301,2008,6,전체,전체,"협회단체,수리기타개인서비스업",197106,352655216,35374556260,100.3
302,2008,6,전체,전체,"가구내고용,미분류자가소비생산",817,713199,78880079,110.6
303,2008,6,전체,전체,국제 및 외국기관,252,52964253,4051080676,76.5
304,2008,7,전체,전체,"농업, 임업 및 어업 ",1060009,609203165,26653839083,43.8
305,2008,7,전체,전체,광업 ,2244,117912468,10809483692,91.7
306,2008,7,전체,전체,제조업 ,256992,16049848260,1201768834846,74.9
307,2008,7,전체,전체,"전기, 가스, 증기 및 수도사업 ",56975,734922788,61661310095,83.9
308,2008,7,전체,전체,하수폐기처리원료재생환경복원,29147,354266528,29207996061,82.4
309,2008,7,전체,전체,건설업 ,31892,93221353,10407471001,111.6
310,2008,7,전체,전체,도매 및 소매업,709830,1783766309,180583738185,101.2
311,2008,7,전체,전체,운수업,78639,547368430,44968778932,82.2
312,2008,7,전체,전체,숙박 및 음식점업 ,522469,1229546822,121549672824,98.9
313,2008,7,전체,전체,"출판영상,방송통신정보서비스업",100984,410515833,36185214977,88.1
314,2008,7,전체,전체,금융 및 보험업 ,14989,182461965,17880917883,98.0
315,2008,7,전체,전체,부동산업 및 임대업 ,571271,2191814373,222629194754,101.6
316,2008,7,전체,전체,"전문, 과학 및 기술 서비스업 ",36500,143823436,13964268897,97.1
317,2008,7,전체,전체,"사업시설관리,사업지원서비스업",20893,45809877,4732715691,103.3
318,2008,7,전체,전체,"공공행정, 국방 및 사회보장 행정",24533,278346961,27792590579,99.8
319,2008,7,전체,전체,교육 서비스업,64560,562220406,50082898691,89.1
320,2008,7,전체,전체,보건업 및 사회복지 서비스업,57352,357624200,34027252230,95.1
321,2008,7,전체,전체,"예술,스포츠및여가관련서비스업",81548,378207272,38457678612,101.7
